Tweet,label
@thirdsectorlab Greetings.,Not suicidal
Just bought 2 new reads - The Ten Commandments For Business Failure and More Softies: 22 New Friends For You To Sew And Crochet,Not suicidal
Like all I want to do is shove a knife into my fucking stomach I hate myself so god damn much,Suicidal
"@alexasberthold,The Moon,I cant do this im a fucking wreck i havent touched a thing at work i have cried here since 8am but i dont want to leave because i have to go say goodbye to someone i shouldnt be. Idk what to do with myself anymore",Suicidal
"@gerardway I'm great.somebody said&quot;u speak out of the right side of your mouth&quot; oh,it was random.I think You have sweet talking,dear",Not suicidal
"@betchbelleza,,RT @jaemverse: i just dont want to be here anymore",Suicidal
Is on the train more shopping Yay,Not suicidal
"since we're talking abt him, hey uhh remember when YandereDev said intellectually disabled people deserve to die, p… https://t.co/eokuBuayM6",Suicidal
Tomorrow is going to be GREAT! - Altho if I get eaten by a dinosaur Im blaming Sophie.,Not suicidal
glad to see spring making a comeback in Denver today!,Not suicidal
basil and hafiz are having a very nice gay moment in the studio,Not suicidal
Good morning Tweeterville! Looking forward to your tweets today Make it an awesome day.,Not suicidal
@Bhavika looks like u found all the beer,Not suicidal
whoever replied i cant see it but just kno i said what i said and go see aquaman directed by james wan on dec 21 https://t.co/G1lMtPk12l,Suicidal
Had a nice lunch time for some work now.,Not suicidal
"@zephrode @julouille3 Comme je le dis si bien ""let me hate myself god fucking damn it""",Suicidal
New Hip album today. Mine arrives in vinyl next week,Not suicidal
I just want to get my ass done I’m tired of living this life,Suicidal
@lakezuriche I Hope I Fucken Change Cause Damn Do I Hate Myself!!!!!!!!,Suicidal
"@mattstevensloop thanks Matt, I'm glad you like it ... no algorithmic music gigs planned so far though",Not suicidal
I don’t want to go back to school rn. I don’t want to drive there. I don’t want to do this stupid project. I just w… https://t.co/7TpsU7S7QH,Suicidal
Is up at 7 am for no reason. Had a great day yesterday... hopes today is just as good,Not suicidal
"We need to give a big huge massive shout out to @manny_hockey for his scraper, expertise, and amazing intelligence.… https://t.co/ltQI947boL",Not suicidal
"@DuaneJackson tr.im are doing it with Nambu, bit.ly are doing it with Tweetdeck",Not suicidal
How to overcome such an incident,Suicidal
@JoannaButler he should tell them that his sister fixed it,Not suicidal
"RT @theseoulstory: Cheers for more wonderful years with HIGHLIGHT Happy 8th anniversary, guys! @ent_aroundus #CELEBRATE_HIGHLIGHT",Not suicidal
